Channel 1	Channel 2	Channel 3	Channel 4
114.469811	117.260310	118.264217	118.041157
113.687968	114.804818	116.814016	120.493886
114.693154	114.581485	118.933296	119.490744
111.788267	117.483431	119.713694	118.041157
113.017639	116.590843	118.152689	120.828191
112.682412	117.371873	120.493886	117.706534
114.804818	117.371873	117.148743	118.041157
113.352824	117.483431	120.048087	120.270995
114.023071	118.152689	117.594985	120.716760
113.576258	115.809597	120.939618	119.267777
112.905901	118.375741	117.483431	118.264217
113.017639	116.702431	119.713694	119.602221
114.916478	117.148743	117.371873	120.605325
116.367652	116.925596	119.936627	122.053662
115.809597	118.041157	117.483431	120.382442
114.804818	117.594985	121.051041	120.493886
114.246450	118.264217	120.493886	121.830886
117.706534	119.713694	118.821793	122.276422
116.925596	119.379263	121.162460	121.830886
118.041157	120.159543	121.608094	120.828191
116.367652	116.814016	119.267777	122.165044
116.479249	117.260310	117.818080	121.496691
118.152689	116.925596	118.375741	120.382442
117.818080	120.159543	118.710287	119.379263
115.251432	118.375741	118.152689	123.055954
118.041157	117.148743	122.053662	121.608094
117.260310	117.148743	119.267777	120.605325
118.264217	120.493886	118.375741	122.499166
116.256050	119.936627	120.716760	123.167300
117.706534	118.264217	119.713694	122.276422
117.371873	119.490744	121.051041	119.379263
120.270995	120.828191	119.156288	120.939618
119.156288	121.942276	121.942276	121.719492
118.933296	121.830886	121.608094	120.270995
118.821793	119.044794	121.051041	122.053662
117.594985	120.270995	120.828191	123.167300
119.490744	121.273874	121.385285	120.939618
120.159543	121.273874	123.055954	119.936627
119.602221	122.053662	121.385285	122.944605
119.156288	120.270995	120.828191	122.833251
121.051041	119.044794	119.936627	119.936627
120.270995	122.387796	121.608094	119.156288
120.048087	118.487261	121.385285	121.273874
119.267777	118.710287	123.278642	119.490744
120.048087	118.710287	119.713694	121.830886
118.933296	119.936627	121.830886	120.716760
119.490744	119.490744	121.942276	119.602221
119.825162	120.828191	122.499166	120.716760
117.818080	120.159543	120.605325	119.379263
121.385285	121.830886	122.833251	121.608094
120.716760	120.939618	122.165044	121.942276
122.165044	120.828191	120.605325	119.267777
121.942276	122.387796	120.939618	119.156288
121.942276	122.165044	119.156288	120.493886
122.276422	119.156288	119.713694	119.490744
118.821793	121.496691	119.490744	121.162460
120.828191	121.942276	122.165044	122.387796
121.273874	120.270995	122.499166	120.048087
122.721893	122.276422	119.825162	119.156288
120.159543	119.825162	121.385285	119.156288
122.721893	119.825162	120.493886	119.602221
119.156288	119.825162	119.044794	121.496691
121.942276	122.833251	118.821793	120.048087
120.605325	122.499166	120.828191	120.159543
121.942276	120.048087	121.162460	118.375741
122.721893	122.833251	122.387796	118.152689
120.939618	121.719492	121.942276	121.051041
119.936627	122.944605	122.053662	118.598776
121.273874	119.267777	120.828191	121.051041
121.942276	119.156288	121.719492	119.936627
122.833251	122.721893	121.942276	118.821793
120.716760	121.051041	118.710287	120.159543
118.933296	122.276422	121.608094	118.264217
119.713694	119.156288	121.162460	117.371873
120.493886	121.942276	121.719492	118.933296
123.278642	121.608094	119.490744	119.044794
122.833251	119.156288	118.598776	117.483431
119.602221	122.721893	119.379263	118.375741
122.499166	118.933296	121.496691	117.706534
122.944605	119.825162	119.044794	117.483431
120.048087	122.276422	121.608094	120.270995
122.610531	121.273874	117.929620	117.037172
119.825162	120.159543	119.602221	117.037172
122.833251	121.273874	119.936627	119.936627
121.273874	121.608094	121.719492	120.159543
122.721893	122.053662	118.041157	117.371873
120.159543	119.156288	121.496691	118.821793
122.053662	118.487261	119.936627	119.044794
122.053662	121.719492	117.594985	118.487261
120.493886	120.939618	120.939618	119.044794
118.933296	121.385285	118.821793	115.139785
119.825162	119.825162	117.483431	118.933296
120.939618	119.044794	119.936627	118.710287
119.602221	118.041157	119.825162	115.697973
121.051041	121.273874	120.048087	115.921217
120.939618	121.942276	120.048087	117.148743
119.602221	121.162460	117.818080	115.809597
118.710287	119.936627	117.818080	114.581485
119.936627	121.273874	116.814016	117.929620
118.933296	121.051041	119.602221	115.586344
119.267777	120.048087	118.041157	116.256050
120.159543	117.260310	119.267777	113.911375
119.379263	118.375741	118.264217	115.586344
122.276422	119.602221	118.598776	114.804818
121.608094	120.048087	115.697973	115.028134
118.152689	116.814016	118.152689	114.134763
121.830886	118.598776	118.152689	112.682412
120.605325	116.590843	117.594985	116.479249
119.936627	119.490744	115.697973	115.586344
120.493886	118.821793	115.474711	115.586344
119.602221	119.379263	115.697973	111.788267
119.602221	118.710287	115.809597	113.129372
117.594985	117.148743	116.479249	115.139785
119.267777	119.825162	115.363074	113.352824
117.260310	119.825162	117.260310	112.794159
120.159543	116.925596	115.921217	112.794159
119.490744	115.586344	114.804818	111.452886
120.939618	118.933296	117.148743	112.905901
119.379263	115.363074	114.581485	111.341082
118.933296	115.251432	116.367652	111.117462
119.936627	118.821793	115.028134	110.558326
117.706534	117.037172	116.032832	110.446485
117.706534	117.594985	115.809597	110.222787
117.037172	116.256050	115.697973	111.452886
116.256050	118.487261	111.900052	111.452886
117.148743	114.693154	112.011831	109.551580
118.041157	117.929620	111.452886	108.656364
117.260310	114.916478	113.352824	110.110931
117.371873	117.483431	113.464544	109.104011
117.594985	115.028134	114.804818	109.887205
118.933296	116.590843	113.911375	109.887205
118.933296	114.358133	114.246450	108.208638
119.156288	115.921217	110.558326	110.110931
116.925596	113.352824	109.887205	106.752981
116.702431	116.144443	110.222787	106.416939
115.586344	115.809597	112.794159	109.439695
117.260310	113.352824	112.570660	109.775335
117.929620	112.905901	111.117462	105.632665
114.469811	111.788267	110.222787	108.432511
115.697973	112.235377	109.775335	105.856769
117.037172	111.900052	108.544440	106.976983
115.251432	114.581485	108.656364	108.432511
114.023071	111.005644	108.544440	107.760834
114.358133	113.129372	108.992107	106.304916
116.032832	114.246450	111.341082	107.760834
113.464544	110.893822	109.439695	106.864985
116.590843	110.334638	110.558326	106.640972
114.246450	112.123607	109.439695	104.736044
113.576258	113.687968	110.558326	105.744720
114.804818	110.558326	106.640972	103.166156
114.581485	111.229274	107.312949	102.941802
113.911375	111.900052	109.663460	104.623943
115.921217	109.663460	107.424928	102.380824
115.363074	110.558326	106.416939	103.390488
113.687968	109.663460	106.192887	101.595230
112.235377	108.880197	108.432511	103.726948
114.358133	110.558326	107.200966	101.370726
113.911375	107.760834	107.088977	103.614800
111.900052	107.424928	105.744720	99.686252
113.799674	109.663460	105.744720	101.931946
112.458904	110.110931	105.856769	102.044173
113.017639	110.222787	103.502647	100.472494
112.905901	106.304916	104.399725	98.562579
111.564684	107.200966	102.493030	99.124485
113.352824	107.984746	104.623943	98.112952
110.446485	109.663460	105.408541	98.899739
109.663460	106.528958	101.595230	101.370726
109.215911	105.296471	102.044173	98.112952
111.564684	107.536901	101.146201	97.550792
108.544440	105.408541	102.941802	96.876013
110.446485	104.623943	102.156396	99.124485
108.880197	104.175487	101.146201	98.450181
111.005644	106.080852	103.390488	95.525831
110.446485	107.648870	102.044173	97.550792
109.327805	105.632665	99.798589	98.787358
107.536901	102.941802	99.686252	95.300719
107.984746	105.968813	99.573910	97.663236
107.648870	105.408541	98.899739	93.724279
108.320577	103.502647	99.236850	95.975984
109.663460	102.605231	101.258466	94.287426
109.327805	104.175487	98.000532	93.611631
106.416939	103.390488	98.000532	93.048304
105.072315	101.258466	99.461562	95.413278
107.312949	103.951228	96.088508	93.498978
106.752981	104.175487	96.988490	93.724279
107.088977	103.614800	99.349209	94.287426
106.192887	100.921654	98.562579	91.019074
105.632665	102.268612	96.538545	94.287426
103.502647	100.697085	94.512644	92.597534
103.839091	99.349209	95.075584	90.116554
106.192887	101.595230	93.949556	91.019074
102.380824	102.156396	93.836920	91.019074
106.080852	100.135566	96.876013	89.890862
103.390488	99.124485	95.638378	91.357416
105.408541	98.225367	92.372113	90.116554
101.258466	99.573910	93.836920	91.244642
103.278325	97.213428	93.498978	88.197369
103.166156	99.573910	91.357416	86.728514
101.819713	96.988490	92.372113	89.552277
103.502647	96.763529	91.470185	87.971462
101.595230	99.349209	92.146668	86.728514
101.033930	96.426045	92.484827	88.649107
100.360190	96.088508	93.724279	86.615480
100.360190	96.763529	92.597534	84.353421
98.899739	94.625244	89.213636	85.032316
100.023246	96.088508	89.890862	83.561072
100.360190	93.724279	89.326523	86.502440
99.236850	96.988490	88.762025	82.994906
99.236850	93.498978	87.406583	84.579746
100.023246	92.484827	91.244642	83.334626
100.247881	93.949556	87.632554	82.655125
98.112952	92.710236	88.084419	84.240248
99.349209	92.597534	87.745530	83.674285
98.562579	91.019074	85.824059	83.447852
98.674971	93.048304	86.728514	81.748743
95.075584	91.695704	85.597880	80.841919
98.337777	90.567864	85.710973	79.594309
95.525831	90.003711	85.145442	79.367379
94.400038	90.229391	83.900690	80.274929
97.550792	91.921198	85.145442	81.635414
93.836920	90.116554	84.919183	80.388341
93.724279	91.808454	83.674285	78.232305
95.863455	90.906280	84.806044	79.934651
92.033936	88.084419	82.881653	80.274929
95.413278	88.874937	84.353421	76.755635
95.300719	88.310313	81.295387	78.913435
91.244642	87.067578	82.088688	77.664500
92.822931	87.293588	80.728535	78.686420
90.567864	85.145442	83.674285	75.846305
93.160982	85.484780	79.707763	75.391463
92.484827	86.615480	82.428571	76.869269
90.342221	86.163279	82.315283	73.343201
92.935621	85.937139	79.026932	72.659904
89.326523	84.013883	78.459377	72.773806
92.146668	85.371674	80.501746	72.773806
90.567864	85.824059	80.841919	75.163997
91.019074	83.108153	76.869269	70.950458
90.906280	82.201989	79.934651	71.748415
90.680675	82.881653	77.096514	72.773806
90.003711	82.428571	77.096514	72.318153
86.954563	82.541851	77.096514	72.432078
88.874937	83.334626	76.528347	72.090281
87.519572	80.841919	75.505184	68.325900
88.649107	82.541851	75.163997	68.896811
85.145442	80.274929	73.343201	71.064475
85.032316	80.161510	73.343201	70.608360
86.163279	81.408736	73.115465	68.325900
86.389393	79.480848	74.595204	69.467524
83.447852	78.572902	75.618898	68.554288
83.221393	80.615144	71.178484	68.325900
82.088688	76.982895	70.950458	67.069189
84.013883	78.345845	71.064475	64.552814
82.541851	75.846305	71.520466	64.323855
81.862065	78.799931	71.520466	64.438339
84.692898	78.799931	69.467524	64.094862
83.108153	76.414691	69.695754	63.980353
81.862065	77.437327	70.266191	62.261710
82.768392	75.959997	68.097479	63.751310
82.881653	76.187359	69.239263	63.063980
82.428571	75.050254	68.325900	64.552814
80.841919	72.773806	68.554288	60.655914
78.799931	74.253839	69.353398	61.344319
80.955297	74.708978	67.412025	60.885417
78.686420	73.570905	66.611961	61.688404
78.799931	72.659904	68.211693	59.278168
75.959997	70.608360	64.323855	58.933534
76.641995	71.520466	66.840591	59.507880
75.732605	71.634444	67.069189	60.655914
75.618898	72.887700	64.209362	57.209171
76.982895	68.440098	66.611961	58.588821
75.505184	67.983257	62.949395	59.622722
76.073681	68.211693	61.573718	57.669197
77.096514	69.923953	62.032413	56.633937
76.869269	67.069189	62.376345	56.633937
73.684746	67.640542	62.949395	55.022076
73.001587	68.211693	63.636776	55.597945
72.773806	68.325900	61.344319	55.597945
72.773806	69.010970	59.393028	55.482790
71.178484	65.582721	58.818639	52.600906
73.115465	67.754788	60.082006	53.639052
72.545995	65.468320	60.311595	51.677472
72.887700	64.781740	60.885417	53.062398
73.001587	64.438339	59.737556	53.177747
70.038040	65.925874	59.852382	50.175594
71.178484	63.407683	56.749002	53.062398
70.950458	62.605591	57.784181	49.713152
67.640542	64.323855	56.633937	49.713152
67.412025	62.949395	55.367625	49.481873
67.183476	62.949395	56.979104	50.637882
68.554288	59.852382	54.906875	51.331028
66.726280	60.541150	53.754355	48.324896
66.154603	63.063980	53.523740	47.398609
67.183476	61.688404	54.676444	46.935229
67.183476	59.393028	54.791664	45.428144
66.611961	60.196805	51.677472	48.093383
64.781740	59.278168	54.561216	47.051089
64.896191	56.633937	53.293087	46.471691
63.751310	58.588821	53.177747	43.570931
61.803083	58.014123	52.716293	44.267691
64.896191	58.933534	52.139264	43.919357
63.293124	56.518863	48.903506	43.919357
60.885417	57.209171	48.672091	44.731994
63.063980	57.094142	51.562000	44.615933
62.147066	54.561216	47.630240	41.943719
62.376345	57.324191	48.787804	41.245720
62.261710	55.252451	47.746041	42.060016
62.720201	53.639052	49.944393	40.430911
60.655914	54.100208	45.892043	43.106220
59.393028	53.984933	45.080114	41.478428
60.196805	51.100017	47.282779	38.916319
57.554204	53.523740	48.324896	41.012970
59.967198	52.254689	47.398609	41.012970
58.358969	52.485510	46.239861	37.399919
58.473900	49.481873	44.383782	39.032890
57.899157	52.139264	46.007992	36.115378
55.943357	50.637882	43.803225	37.399919
57.209171	50.059998	42.641344	37.516630
54.906875	50.406758	41.129350	34.829509
57.324191	46.819360	42.060016	34.478585
54.215474	48.093383	41.012970	35.647944
52.947039	46.819360	42.292578	37.166464
55.482790	47.282779	40.780178	33.659371
55.367625	48.093383	39.965074	35.531058
53.293087	47.051089	42.060016	34.829509
51.215527	44.383782	39.965074	34.595571
52.254689	43.454768	39.382539	32.956750
53.639052	46.935229	39.848588	31.550284
49.250556	43.687083	38.333304	32.722453
48.556369	43.803225	36.232210	34.010530
51.215527	41.827412	35.297253	32.136511
51.677472	44.267691	38.216668	29.320001
50.059998	43.454768	37.399919	32.605287
46.819360	44.267691	37.866698	30.611726
50.059998	42.408844	34.244580	31.433005
48.209144	40.547344	33.893488	29.672429
48.903506	41.827412	36.465839	28.497259
49.134882	41.362079	35.414161	26.261187
47.861831	41.362079	36.115378	29.320001
45.196134	37.983365	32.136511	26.496766
47.630240	40.896579	31.902054	25.672031
46.819360	38.566542	31.315713	28.497259
45.776083	37.866698	31.667552	26.378982
44.848044	39.965074	32.839607	26.732296
43.338596	37.750019	33.425209	25.789886
42.525099	36.699424	31.433005	25.672031
42.873802	37.399919	29.320001	22.603524
40.430911	34.478585	29.789882	22.485339
42.641344	37.283197	28.497259	24.964645
42.060016	37.166464	27.320914	21.894227
41.012970	35.764819	29.554965	20.829439
40.081549	34.244580	30.259576	20.355874
39.965074	32.136511	27.909234	20.947799
41.012970	34.946462	28.379678	21.657695
37.283197	31.667552	29.084990	20.592681
39.499067	33.542296	28.262085	22.012474
40.198014	32.019288	25.907730	21.066146
39.032890	31.198411	26.732296	18.578198
36.816200	29.084990	26.614537	20.474284
36.699424	29.554965	22.839858	17.747632
37.166464	31.550284	23.548561	17.272739
35.998536	31.081097	24.138810	17.272739
36.582637	31.550284	22.958006	16.560011
36.932966	29.437489	23.548561	16.441178
36.115378	30.142170	24.020785	16.441178
32.370921	28.732387	24.374824	17.153984
33.893488	26.261187	22.012474	14.776132
35.063403	26.378982	23.548561	17.035215
32.488110	26.025561	20.474284	15.846814
34.478585	28.262085	19.408136	15.846814
32.253722	28.026863	21.894227	14.895149
29.554965	24.492813	18.696799	15.252122
30.142170	24.138810	18.459584	15.371087
32.253722	23.548561	17.985001	11.796362
32.370921	23.076142	20.355874	14.180846
28.026863	24.138810	16.678832	11.676997
28.026863	24.728753	19.289612	10.960517
26.967779	24.138810	18.103666	11.796362
28.732387	21.894227	14.895149	9.047493
29.320001	20.000567	15.490038	9.765290
26.025561	21.775967	15.133144	11.438224
27.673942	21.657695	17.391482	10.602093
27.791594	21.184481	13.108493	8.568685
24.138810	21.657695	16.916434	9.526080
25.082573	19.882106	12.512272	8.808117
24.020785	19.763633	13.227697	8.448948
25.907730	20.119015	14.419000	8.568685
22.958006	20.829439	14.061749	5.571049
22.958006	18.340958	10.960517	9.406454
23.548561	19.171075	12.750801	8.089653
23.902747	19.052525	10.841056	8.808117
24.492813	16.322331	9.884875	4.249277
24.610789	18.815387	11.438224	3.888492
20.119015	15.490038	10.243546	5.090605
22.721697	17.272739	10.721581	6.771161
21.539410	17.272739	8.568685	3.407243
19.289612	14.776132	8.688408	2.925761
21.894227	15.965713	10.721581	3.407243
19.645147	16.203471	6.651214	4.850298
18.578198	13.942639	7.011014	3.888492
18.103666	11.915714	9.645692	2.684933
20.237451	14.895149	7.969860	0.876853
17.985001	13.466064	8.688408	4.369510
20.000567	12.273690	4.850298	-0.326390
17.747632	13.466064	6.891094	1.841574
17.391482	10.363075	7.370687	0.514839
18.340958	9.286814	7.850054	-1.404729
15.846814	9.884875	4.609933	-2.006514
14.895149	8.927812	6.291287	-0.087687
13.346887	11.676997	4.129030	-0.087687
14.776132	10.363075	4.489729	-0.326390
15.014153	7.610398	3.286894	0.273422
15.965713	8.927812	4.970459	0.031945
15.846814	9.526080	1.721035	-1.044555
13.466064	9.526080	4.249277	-0.924654
13.823515	8.089653	1.962098	-0.565442
14.776132	7.250810	0.876853	-2.247724
12.989276	7.370687	3.768202	-2.730944
10.721581	6.411276	-0.087687	-1.524939
9.884875	4.369510	2.082607	-2.730944
11.199398	6.171283	2.925761	-1.645225
11.079964	5.330856	0.394138	-6.383002
11.676997	6.771161	0.152691	-5.771433
7.490549	6.531252	1.118122	-6.750400
7.730233	5.811185	-1.284593	-4.064795
7.011014	3.046154	-3.336376	-7.608883
7.969860	1.118122	-2.610042	-5.527087
9.406454	2.444047	-2.006514	-7.977291
9.406454	2.203102	-2.851908	-4.429721
7.969860	2.684933	-0.685097	-6.383002
5.931232	1.238734	-3.943256	-6.505431
7.490549	2.444047	-1.765583	-7.363435
6.411276	-0.206994	-3.700338	-7.854458
8.209432	2.805355	-5.893667	-9.946403
3.768202	0.031945	-4.916979	-6.260610
6.771161	0.635525	-4.308028	-9.084088
6.771161	0.031945	-6.505431	-7.118119
4.129030	0.756196	-2.610042	-10.439674
1.962098	-0.924654	-7.118119	-10.069687
3.046154	0.997495	-7.854458	-7.608883
4.730122	-0.206994	-4.551463	-8.714906
3.527577	-3.943256	-8.345970	-9.946403
3.647897	-3.821770	-7.486143	-9.453504
1.479914	-3.094023	-6.750400	-8.837940
4.008768	-0.804835	-5.404978	-10.686443
3.647897	-2.127085	-8.345970	-8.961001
0.876853	-1.404729	-7.240760	-11.674344
-0.685097	-2.730944	-10.192994	-12.663467
0.635525	-5.404978	-10.563048	-13.777553
0.394138	-5.282911	-6.872938	-12.168760
-0.804835	-6.995511	-10.686443	-13.653700
-0.206994	-7.363435	-7.854458	-14.892925
1.118122	-3.821770	-10.809859	-13.653700
-1.404729	-4.308028	-7.977291	-11.427249
-1.284593	-5.282911	-11.180232	-13.034679
-1.164535	-5.282911	-8.100154	-13.529864
-3.821770	-7.240760	-8.837940	-12.787187
-1.284593	-4.795093	-9.330340	-16.133635
-4.551463	-9.330340	-8.961001	-14.892925
-4.551463	-6.750400	-12.787187	-15.637178
-2.247724	-6.995511	-9.453504	-16.630319
-3.094023	-9.576693	-12.292410	-17.251489
-4.551463	-7.118119	-10.809859	-13.901421
-3.457640	-9.084088	-12.416078	-15.016930
-6.627897	-9.946403	-14.149205	-17.127227
-4.429721	-11.427249	-10.563048	-16.878745
-3.094023	-9.330340	-15.264986	-16.009499
-6.015942	-11.427249	-13.901421	-18.246087
-6.872938	-11.427249	-15.761271	-17.873008
-5.771433	-8.591900	-14.644958	-16.506127
-4.551463	-9.453504	-16.381949	-15.761271
-6.260610	-12.787187	-16.257785	-17.251489
-6.750400	-11.427249	-16.878745	-16.754525
-5.160889	-11.797920	-16.878745	-18.494876
-6.260610	-13.529864	-13.158451	-17.500055
-7.118119	-13.406043	-14.768934	-20.362606
-9.453504	-11.921515	-14.892925	-17.624358
-6.995511	-12.168760	-15.016930	-18.121713
-6.750400	-13.529864	-18.121713	-17.873008
-10.563048	-11.550786	-14.520997	-20.113387
-7.731655	-13.282239	-16.009499	-17.748676
-12.045128	-12.292410	-16.754525	-20.237989
-10.439674	-12.910925	-18.743721	-17.375765
-12.539764	-15.264986	-15.761271	-19.366082
-11.427249	-16.506127	-15.264986	-18.743721
-11.921515	-13.034679	-19.490597	-21.235339
-12.292410	-14.397051	-19.864228	-21.734378
-11.180232	-15.389035	-17.997353	-18.494876
-13.901421	-15.513099	-19.615126	-19.117095
-12.539764	-15.885378	-19.739669	-21.110617
-12.168760	-16.381949	-18.868165	-20.362606
-11.550786	-15.885378	-19.117095	-22.108822
-10.316323	-17.624358	-19.366082	-21.110617
-14.273121	-14.644958	-17.002979	-19.988800
-13.529864	-15.389035	-19.988800	-21.235339
-15.016930	-16.754525	-19.988800	-21.609595
-16.009499	-17.002979	-20.362606	-22.233668
-16.257785	-16.754525	-17.873008	-20.237989
-13.529864	-17.002979	-18.868165	-19.366082
-14.520997	-15.389035	-18.992623	-20.985911
-13.529864	-15.637178	-19.739669	-22.358530
-15.389035	-16.381949	-21.609595	-23.108045
-17.127227	-18.494876	-21.110617	-22.358530
-17.375765	-18.370474	-20.487237	-24.233453
-14.149205	-20.113387	-19.864228	-20.736544
-16.133635	-19.864228	-18.992623	-21.110617
-16.754525	-20.736544	-22.983084	-23.858161
-16.133635	-19.241581	-20.611883	-22.608303
-14.397051	-19.366082	-22.483408	-22.358530
